commodity,flow,period_str,year,quarter,ln_quantity,ln_price,ln_demand,demand_source,price_currency,price_flag,weight_tonnes,price_usd_per_tonne,price_aud_per_tonne,value_usd,n_hs_codes,n_monthly_obs
clinker,import,2020Q4,2020,4,13.78040420560073,4.236223542234936,10.669211175914377,construction_gva,AUD,0,965502.7273,50.95968827202712,69.14623032994065,49201718.009,1,3
clinker,import,2021Q1,2021,1,13.733700268204204,4.189870373609185,10.713039040966176,construction_gva,AUD,0,921446.75,50.769893739383214,66.01423321897279,46781753.58400001,1,3
clinker,import,2021Q2,2021,2,13.828658422540542,4.156572294960772,10.726895156930228,construction_gva,AUD,0,1013234.6778,48.98340635237979,63.85228028270699,49631685.953,1,3
clinker,import,2021Q3,2021,3,13.87049407509672,4.216902594934157,10.704771391700652,construction_gva,AUD,0,1056523.2,49.5554683957721,67.82308304768502,52356502.047000006,1,3
clinker,import,2021Q4,2021,4,13.918195585694102,4.253701664031287,10.72535770879079,construction_gva,AUD,0,1108142.32,51.44733590898325,70.36539992643714,57010970.172000006,1,3
clinker,import,2022Q1,2022,1,13.88561070952365,4.368914784133293,10.736548837807,construction_gva,AUD,0,1072615.6,57.006008144017294,78.95789882403425,61145533.629,1,3
clinker,import,2022Q2,2022,2,13.96427559837861,4.334712150191688,10.738112593745406,construction_gva,AUD,0,1160400.31,53.96272369144748,76.30299192672662,62618361.3,1,3
clinker,import,2022Q3,2022,3,13.946400038811138,4.397283176401548,10.74218424297173,construction_gva,AUD,0,1139841.8,55.2084971826792,81.22988135056809,62928952.804,1,3
clinker,import,2022Q4,2022,4,13.97816756192933,4.495832758510462,10.74343705115356,construction_gva,AUD,0,1176633.04,59.41028046603213,89.64278870592567,69904098.912,1,3
clinker,import,2023Q1,2023,1,13.817681539677185,4.466896200214635,10.756348481750502,construction_gva,AUD,0,1002173.34,59.41985947361162,87.08600557899051,59548999.031,1,3
clinker,import,2023Q2,2023,2,14.044662614006278,4.513092941586472,10.764286715905591,construction_gva,AUD,0,1257533.24,59.99174717003902,91.20346972496577,75441616.192,1,3
clinker,import,2023Q3,2023,3,13.800540280436024,4.479150902724629,10.761216533412018,construction_gva,AUD,0,985141.22,57.65789415044475,88.15978465359642,56801168.186,1,3
clinker,import,2023Q4,2023,4,13.64760756981175,4.494591765287226,10.77628606133415,construction_gva,AUD,0,845435.848,59.13586059695922,89.5316116119082,49995576.451000005,1,3
clinker,import,2024Q1,2024,1,13.545161696373476,4.390280841827208,10.75395894337299,construction_gva,AUD,0,763113.227,52.76641325730815,80.66306936352889,40266747.898,1,3
clinker,import,2024Q2,2024,2,13.80060541821395,4.280668260888194,10.764244432607487,construction_gva,AUD,0,985205.392,47.67407222330752,72.28873160182299,46968753.013,1,3
clinker,import,2024Q3,2024,3,13.567697529479567,4.294782102290782,10.767747876315898,construction_gva,AUD,0,780505.862,49.39923987656098,73.3162372642433,38556396.302,1,3
clinker,import,2024Q4,2024,4,13.48555474327183,4.361109059987791,10.762043233759044,construction_gva,AUD,0,718955.5,50.37935363593435,78.34397442611723,36220513.383,1,3
